Seed;Tesla;Musk;Gigafactory;Elon Mask;
https://en.wikipedia.org/wiki/Near_Earth_Object_Surveillance_Satellite;0;0;0;0;0;
https://en.wikipedia.org/wiki/Astron_(spacecraft);0;0;0;0;0;
https://en.wikipedia.org/wiki/Ariel_2;0;0;0;0;0;
https://en.wikipedia.org/wiki/Dark_Matter_Particle_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/JASMINE_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/Deep_Space_Climate_Observatory;1;1;0;0;2;
https://en.wikipedia.org/wiki/Milky_Way;0;0;0;0;0;
https://en.wikipedia.org/wiki/S2CID_(identifier);0;0;0;0;0;
https://en.wikipedia.org/wiki/Large_Ultraviolet_Optical_Infrared_Surveyor;0;0;0;0;0;
https://en.wikipedia.org/wiki/Lunar_Ultraviolet_Cosmic_Imager;0;0;0;0;0;
https://en.wikipedia.org/wiki/Mikhailo_Lomonosov_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/Axino;0;0;0;0;0;
https://en.wikipedia.org/wiki/Advanced_Composition_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/X-ray_Polarimeter_Satellite;0;0;0;0;0;
https://en.wikipedia.org/wiki/Cold_dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/OSO_6;0;0;0;0;0;
https://en.wikipedia.org/wiki/Cosmic_Background_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/WISP_(quantum_mechanics);0;0;0;0;0;
https://en.wikipedia.org/wiki/Orbiting_Astronomical_Observatory_2;0;0;0;0;0;
https://en.wikipedia.org/wiki/Dark_Energy_Space_Telescope;0;0;0;0;0;
https://en.wikipedia.org/wiki/INTEGRAL;0;0;0;0;0;
https://en.wikipedia.org/wiki/Cryogenic_Rare_Event_Search_with_Superconducting_Thermometers;0;0;0;0;0;
https://en.wikipedia.org/wiki/Luna_26;0;0;0;0;0;
https://en.wikipedia.org/wiki/Axion;0;0;0;0;0;
https://en.wikipedia.org/wiki/BeppoSAX;0;0;0;0;0;
https://en.wikipedia.org/wiki/Electric_charge;1;0;0;0;1;
https://en.wikipedia.org/wiki/Space_telescope;0;0;0;0;0;
https://en.wikipedia.org/wiki/Japan_Aerospace_Exploration_Agency;0;0;0;0;0;
https://en.wikipedia.org/wiki/HiRISE;0;0;0;0;0;
https://en.wikipedia.org/wiki/VERITAS;0;0;0;0;0;
https://en.wikipedia.org/wiki/MAXI_(ISS_experiment);0;0;0;0;0;
https://en.wikipedia.org/wiki/Granat;0;0;0;0;0;
https://en.wikipedia.org/wiki/Orbiting_Binary_Black_Hole_Investigation_Satellite;0;0;0;0;0;
https://en.wikipedia.org/wiki/Fresnel_Imager;0;0;0;0;0;
https://en.wikipedia.org/wiki/Gamma-ray_astronomy;0;0;0;0;0;
https://en.wikipedia.org/wiki/Tachyon;0;0;0;0;0;
https://en.wikipedia.org/wiki/ARIEL;0;0;0;0;0;
https://en.wikipedia.org/wiki/Spektr-UV;0;0;0;0;0;
https://en.wikipedia.org/wiki/Ariel_6;0;0;0;0;0;
https://en.wikipedia.org/wiki/Negative_mass;0;0;0;0;0;
https://en.wikipedia.org/wiki/Hitomi_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/OSO_8;0;0;0;0;0;
https://en.wikipedia.org/wiki/AGILE_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/Darwin_(spacecraft);0;0;0;0;0;
https://en.wikipedia.org/wiki/Axion_Dark_Matter_Experiment;0;0;0;0;0;
https://en.wikipedia.org/wiki/Hubble_Space_Telescope;0;0;0;0;0;
https://en.wikipedia.org/wiki/Arcus_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/FOCAL_(spacecraft);0;0;0;0;0;
https://en.wikipedia.org/wiki/Indian_Remote_Sensing_Programme;0;0;0;0;0;
https://en.wikipedia.org/wiki/STS-67;0;0;0;0;0;
https://en.wikipedia.org/wiki/PICO;0;0;0;0;0;
https://en.wikipedia.org/wiki/Kepler_space_telescope;0;0;0;0;0;
https://en.wikipedia.org/wiki/Sterile_neutrino;0;0;0;0;0;
https://en.wikipedia.org/wiki/EDELWEISS;0;0;0;0;0;
https://en.wikipedia.org/wiki/Dark_matter_halo;0;0;0;0;0;
https://en.wikipedia.org/wiki/Wikipedia;0;0;0;0;0;
https://en.wikipedia.org/wiki/Uhuru_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/Akari_(satellite);0;0;0;0;0;
https://en.wikipedia.org/wiki/Wide-field_Infrared_Survey_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/Orbiting_Solar_Observatory;0;0;0;0;0;
https://en.wikipedia.org/wiki/Halo_mass_function;0;0;0;0;0;
https://en.wikipedia.org/wiki/Astrosat;0;0;0;0;0;
https://en.wikipedia.org/wiki/TRACE;0;0;0;0;0;
https://en.wikipedia.org/wiki/Dark_energy;0;0;0;0;0;
https://en.wikipedia.org/wiki/Baryonic_dark_matter;0;0;0;0;0;
https://en.wikipedia.org/wiki/Great_Observatories_program;0;0;0;0;0;
https://en.wikipedia.org/wiki/Rossi_X-ray_Timing_Explorer;0;0;0;0;0;
https://en.wikipedia.org/wiki/Small_Astronomy_Satellite_3;0;0;0;0;0;
https://en.wikipedia.org/wiki/Gaia_(spacecraft);0;0;0;0;0;
https://en.wikipedia.org/wiki/Louisiana_State_University;0;0;0;0;0;
https://en.wikipedia.org/wiki/Minicharged_particle;0;0;0;0;0;
https://en.wikipedia.org/wiki/Space_physics;0;0;0;0;0;
https://en.wikipedia.org/wiki/Special;0;0;0;0;0;
https://en.wikipedia.org/wiki/Suzaku_(satellite);0;0;0;0;0;
